Experiment,Treatment,Concentration,Sample,Distance,REGR,E1,E2,E3,C1,C2,C3,S
NREXP228,Control,0,2,13.5,0,-0.108550525,-0.118198978,-0.108550525,-0.115723445,-0.119227781,-0.115723445,-0.119391336
NREXP228,Control,0,2,14,0,-0.105381197,-0.111571879,-0.105381197,-0.109925593,-0.112225512,-0.109925593,-0.112325112
NREXP228,Control,0,2,14.5,0,-0.105015767,-0.110806684,-0.105015767,-0.109253815,-0.111415867,-0.109253815,-0.11150669
NREXP228,Control,0,2,15,0,-0.107214778,-0.115540268,-0.107214778,-0.113310309,-0.116416498,-0.113310309,-0.116547514
NREXP228,Control,0,2,15.5,0,-0.113113595,-0.12817657,-0.113113595,-0.124177984,-0.12976686,-0.124177984,-0.13000889
NREXP228,Control,0,2,16,0.008192569,-0.125971049,-0.155083467,-0.125971049,-0.147561346,-0.158170879,-0.147561346,-0.158652608
NREXP228,Control,0,2,16.5,0.008192569,-0.14772295,-0.200738617,-0.14772295,-0.187395198,-0.206409061,-0.187395198,-0.207323843
NREXP228,Control,0,2,17,0.165965094,-0.193928284,-0.287530798,-0.193928284,-0.266413207,-0.297564084,-0.266413207,-0.299198685
NREXP228,Control,0,2,17.5,0.165965094,-0.192824374,-0.285212089,-0.192824374,-0.264391224,-0.295114206,-0.264391224,-0.29672689
NREXP228,Control,0,2,18,0,-0.143627806,-0.192644175,-0.143627806,-0.18017868,-0.197884992,-0.18017868,-0.198729136
NREXP228,Control,0,2,18.5,0,-0.121509552,-0.146200253,-0.121509552,-0.139668953,-0.148813521,-0.139668953,-0.149217884
NREXP228,Control,0,2,19,0,-0.110722318,-0.123091038,-0.110722318,-0.119781609,-0.12439377,-0.119781609,-0.124589872
NREXP228,Control,0,2,19.5,0,-0.105435976,-0.111714514,-0.105435976,-0.110029234,-0.112374666,-0.110029234,-0.112472771
NREXP228,Control,0,2,20,0,-0.102924124,-0.106302193,-0.102924124,-0.105394918,-0.106657233,-0.105394918,-0.106709778
NREXP228,Control,0,2,20.5,0,-0.101903924,-0.104099978,-0.101903924,-0.103511847,-0.104330982,-0.103511847,-0.104365294
NREXP228,Control,0,2,21,0.000454961,-0.101867454,-0.103983744,-0.101867454,-0.103426546,-0.104206747,-0.103426546,-0.104240211
NREXP228,Control,0,2,21.5,0.000454961,-0.10252268,-0.105390125,-0.10252268,-0.104634493,-0.105692631,-0.104634493,-0.105738426
NREXP228,Control,0,2,22,0.000454961,-0.104220372,-0.109029288,-0.104220372,-0.107764619,-0.109538052,-0.107764619,-0.109616435
NREXP228,Control,0,2,22.5,0.000454961,-0.107872591,-0.116730839,-0.107872591,-0.114462049,-0.117675216,-0.114462049,-0.117825417
NREXP228,Control,0,2,23,0.023139188,-0.11595659,-0.132295555,-0.11595659,-0.128479106,-0.134042244,-0.128479106,-0.134323798
NREXP228,Control,0,2,23.5,0.023139188,-0.118934139,-0.138545396,-0.118934139,-0.133931897,-0.14064568,-0.133931897,-0.140986505
NREXP228,Control,0,3,0,0,-0.135602728,-0.176350194,-0.135602728,-0.165604793,-0.180659609,-0.165604793,-0.181318998
NREXP228,Control,0,3,0.5,0.040992911,-0.155045236,-0.21492528,-0.155045236,-0.199857049,-0.221271643,-0.199857049,-0.222252987
NREXP228,Control,0,3,1,0.040992911,-0.179085111,-0.2663875,-0.179085111,-0.244134262,-0.275640453,-0.244134262,-0.277072676
NREXP228,Control,0,3,1.5,0.040992911,-0.221170202,-0.356662261,-0.221170202,-0.321735216,-0.371027851,-0.321735216,-0.373261448
NREXP228,Control,0,3,2,0.040992911,-0.303767218,-0.531210609,-0.303767218,-0.473293591,-0.555446228,-0.473293591,-0.55929229
NREXP228,Control,0,3,2.5,0.502463903,-0.481526806,-0.876437029,-0.481526806,-0.782984493,-0.918610553,-0.782984493,-0.925377542
NREXP228,Control,0,3,3,0.502463903,-0.567392418,-1.05733983,-0.567392418,-0.940403488,-1.10974649,-0.940403488,-1.1182065
NREXP228,Control,0,3,3.5,0.597268891,-0.620216041,-1.163082519,-0.620216041,-1.034071158,-1.22115399,-1.034071158,-1.230536629
NREXP228,Control,0,3,4,0.597268891,-0.610665489,-1.142206802,-0.610665489,-1.016326704,-1.199085094,-1.016326704,-1.208281751
NREXP228,Control,0,3,4.5,0.597268891,-0.535434765,-0.984060014,-0.535434765,-0.87850146,-1.031993667,-0.87850146,-1.039700853
NREXP228,Control,0,3,5,0.051278751,-0.341576197,-0.610905596,-0.341576197,-0.542437343,-0.639615652,-0.542437343,-0.644181118
NREXP228,Control,0,3,5.5,0.051278751,-0.259193237,-0.436872621,-0.259193237,-0.391287416,-0.455741393,-0.391287416,-0.45869673
NREXP228,Control,0,3,6,0.128233898,-0.233543926,-0.375855466,-0.233543926,-0.340979283,-0.390998394,-0.340979283,-0.393386207
NREXP228,Control,0,3,6.5,0.128233898,-0.203873818,-0.312291931,-0.203873818,-0.286320005,-0.323845077,-0.286320005,-0.325677865
NREXP228,Control,0,3,7,0.007516446,-0.153766014,-0.214127034,-0.153766014,-0.198642891,-0.220549917,-0.198642891,-0.221561479
NREXP228,Control,0,3,7.5,0.007516446,-0.130508683,-0.164897271,-0.130508683,-0.15595052,-0.168538295,-0.15595052,-0.169100422
NREXP228,Control,0,3,8,0.007516446,-0.118985058,-0.14016365,-0.118985058,-0.134700607,-0.142404926,-0.134700607,-0.142749391
NREXP228,Control,0,3,8.5,0.007516446,-0.113076796,-0.127451757,-0.113076796,-0.123802977,-0.128975614,-0.123802977,-0.129211437
NREXP228,Control,0,3,9,0.006180628,-0.109712976,-0.120312335,-0.109712976,-0.117649688,-0.121438234,-0.117649688,-0.121614142
NREXP228,Control,0,3,9.5,0.006180628,-0.107980912,-0.116589219,-0.107980912,-0.114456467,-0.117505269,-0.114456467,-0.117649682
NREXP228,Control,0,3,10,0.006180628,-0.106961211,-0.114393118,-0.106961211,-0.112575286,-0.11518533,-0.112575286,-0.115311218
NREXP228,Control,0,3,10.5,0.006180628,-0.106130266,-0.112607542,-0.106130266,-0.111042771,-0.113298828,-0.111042771,-0.113409228
NREXP228,Control,0,3,11,0.006180628,-0.105051857,-0.110329445,-0.105051857,-0.109064252,-0.110891935,-0.109064252,-0.110981305
NREXP228,Control,0,3,11.5,0,-0.103008757,-0.106431469,-0.103008757,-0.105539337,-0.106794762,-0.105539337,-0.106851368
NREXP228,Control,0,3,12,0,-0.102682781,-0.105767227,-0.102682781,-0.104948206,-0.106093125,-0.104948206,-0.106143026
NREXP228,Control,0,3,12.5,0,-0.103758845,-0.108021956,-0.103758845,-0.106917313,-0.108475259,-0.106917313,-0.108546484
NREXP228,Control,0,3,13,0.009312765,-0.107025703,-0.114300427,-0.107025703,-0.112576063,-0.115076787,-0.112576063,-0.115200928
NREXP228,Control,0,3,13.5,0.009312765,-0.108540131,-0.117494336,-0.108540131,-0.115353368,-0.118451372,-0.115353368,-0.118605317
NREXP228,Control,0,3,14,0.009312765,-0.109327395,-0.119179946,-0.109327395,-0.116804668,-0.12023263,-0.116804668,-0.120401867
NREXP228,Control,0,3,14.5,0.009312765,-0.109815155,-0.1202024,-0.109815155,-0.117697578,-0.121312944,-0.117697578,-0.121491938
NREXP228,Control,0,3,15,0.013210721,-0.110357058,-0.121062148,-0.110357058,-0.118544296,-0.122207629,-0.118544296,-0.122392823
NREXP228,Control,0,3,15.5,0.013210721,-0.108855864,-0.117896426,-0.108855864,-0.11579139,-0.118862852,-0.11579139,-0.119018534
NREXP228,Control,0,3,16,0,-0.104293678,-0.109142829,-0.104293678,-0.107896732,-0.109659714,-0.107896732,-0.109741829
NREXP228,Control,0,3,16.5,0,-0.102307204,-0.104959994,-0.102307204,-0.104255492,-0.105240264,-0.104255492,-0.105283157
NREXP228,Control,0,3,17,0,-0.101526175,-0.103287777,-0.101526175,-0.102815692,-0.103473158,-0.102815692,-0.10350088
NREXP228,Control,0,4,0,0,-0.110881601,-0.123455357,-0.110881601,-0.120076384,-0.124776457,-0.120076384,-0.124971407
NREXP228,Control,0,4,0.5,0,-0.116427015,-0.135407125,-0.116427015,-0.130307575,-0.137401591,-0.130307575,-0.137696339
NREXP228,Control,0,4,1,0,-0.130345868,-0.165398007,-0.130345868,-0.155987401,-0.16908307,-0.155987401,-0.169630051
NREXP228,Control,0,4,1.5,0,-0.159748806,-0.228689782,-0.159748806,-0.210231409,-0.23594832,-0.210231409,-0.237037844
NREXP228,Control,0,4,2,0,-0.219773303,-0.357397518,-0.219773303,-0.320905803,-0.371948243,-0.320905803,-0.374185537
NREXP228,Control,0,4,2.5,0,-0.342575868,-0.616278799,-0.342575868,-0.546080907,-0.64547235,-0.546080907,-0.650125811
NREXP228,Control,0,4,3,0.773914683,-0.611742871,-1.133045006,-0.611742871,-1.012062213,-1.188803751,-1.012062213,-1.197812014
NREXP228,Control,0,4,3.5,0.773914683,-0.698395822,-1.314442369,-0.698395822,-1.170586773,-1.380451914,-1.170586773,-1.391181799
NREXP228,Control,0,4,4,0.773914683,-0.666687673,-1.249235212,-0.666687673,-1.112913709,-1.311568264,-1.112913709,-1.321652293
NREXP228,Control,0,4,4.5,0.281676284,-0.48840718,-0.906185005,-0.48840718,-0.803692356,-0.950807013,-0.803692356,-0.957967745
NREXP228,Control,0,4,5,0.156545289,-0.36581357,-0.655908445,-0.36581357,-0.583348527,-0.686803928,-0.583348527,-0.691703655
NREXP228,Control,0,4,5.5,0.156545289,-0.298392383,-0.512071549,-0.298392383,-0.459239565,-0.534820762,-0.459239565,-0.538418796
NREXP228,Control,0,4,6,0.156545289,-0.247115691,-0.402732483,-0.247115691,-0.364893562,-0.419299868,-0.364893562,-0.421919188
NREXP228,Control,0,4,6.5,0.020580827,-0.181808927,-0.273137698,-0.181808927,-0.249785647,-0.282848896,-0.249785647,-0.284374031
NREXP228,Control,0,4,7,0.020580827,-0.151014059,-0.207789247,-0.151014059,-0.193214884,-0.213808206,-0.193214884,-0.214742213
NREXP228,Control,0,4,7.5,0.020580827,-0.135333211,-0.17413851,-0.135333211,-0.164303491,-0.178254206,-0.164303491,-0.178893278
NREXP228,Control,0,4,8,0.016556785,-0.126389955,-0.155206547,-0.126389955,-0.147963282,-0.158267584,-0.147963282,-0.158746032
