ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP243.Mannitol.440.4,NREXP243,Mannitol,440,4,Plate,-1.184629787,0.1273565627,-1.002388428,0.1340913202,21,6.5625,0.9545454545,3.2,1.140789811
NREXP243.Mannitol.560.1,NREXP243,Mannitol,560,1,Block,-3.836428431,0.363521828,-5.021715059,0.3723401926,0,0,0,2.7,-1.198052868
NREXP243.Mannitol.560.1,NREXP243,Mannitol,560,1,Air_1,-2.723089278,0.2580270712,-3.432090538,0.2544758588,0,0,0,2.7,-0.084713714
NREXP243.Mannitol.560.1,NREXP243,Mannitol,560,1,Air_2,-2.723089278,0.2580270712,-3.432090538,0.2544758588,0,0,0,2.7,-0.084713714
NREXP243.Mannitol.560.1,NREXP243,Mannitol,560,1,Plate,-1.270895268,0.1204240296,-1.601004174,0.1187080899,7,2.592592593,1,2.7,1.367480296
NREXP243.Mannitol.560.2,NREXP243,Mannitol,560,2,Block,-3.792825512,0.3688763874,-3.792825512,0.3688763874,0,0,0,3.3,-1.222299421
NREXP243.Mannitol.560.2,NREXP243,Mannitol,560,2,Air_1,-2.630993251,0.2558808157,-2.630993251,0.2558808157,0,0,0,3.3,-0.0604671605
NREXP243.Mannitol.560.2,NREXP243,Mannitol,560,2,Air_2,-2.630993251,0.2558808157,-2.630993251,0.2558808157,0,0,0,3.3,-0.0604671605
NREXP243.Mannitol.560.2,NREXP243,Mannitol,560,2,Plate,-1.227292348,0.1193619812,-1.227292348,0.1193619812,6,1.818181818,1,3.3,1.343233742
NREXP243.Mannitol.560.3,NREXP243,Mannitol,560,3,Block,-3.927306458,0.3535609151,-6.230792528,0.3760648675,0,0,0,5.2,-1.150340531
NREXP243.Mannitol.560.3,NREXP243,Mannitol,560,3,Air_1,-2.909391978,0.2619218289,-4.191350947,0.2529726085,2,0.3846153846,0.1818181818,5.2,-0.132426051
NREXP243.Mannitol.560.3,NREXP243,Mannitol,560,3,Air_2,-2.909391978,0.2619218289,-4.191350947,0.2529726085,2,0.3846153846,0.1818181818,5.2,-0.132426051
NREXP243.Mannitol.560.3,NREXP243,Mannitol,560,3,Plate,-1.361773295,0.122595427,-1.954903922,0.1179899156,7,1.346153846,0.6363636364,5.2,1.415192633
NREXP243.Mannitol.560.4,NREXP243,Mannitol,560,4,Block,-3.808471998,0.3670805466,-3.751800755,0.374130964,0,0,0,3.6,-1.214714284
NREXP243.Mannitol.560.4,NREXP243,Mannitol,560,4,Air_1,-2.661810012,0.2565592381,-2.544986472,0.2537869957,0,0,0,3.6,-0.0680522979
NREXP243.Mannitol.560.4,NREXP243,Mannitol,560,4,Air_2,-2.661810012,0.2565592381,-2.544986472,0.2537869957,0,0,0,3.6,-0.0680522979
NREXP243.Mannitol.560.4,NREXP243,Mannitol,560,4,Plate,-1.242938835,0.1198009771,-1.186267591,0.1182950445,5,1.388888889,1,3.6,1.35081888
